"Dynamic Send: Asset Title","Archived Date","Product","Sub-Region","Original Industry","Product Interest","Producer","Region","Country","Language","Contact Type","Company Size","Industry"
"SA_GFM_Agentforce Marketing_b2b-marketers-guide","6/2/2026","Marketing Cloud","MDE","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Saudi Arabia","English","Customer; Prospect","MM; GB; EBU",""
"GB_GFM_Agentforce Commerce_data-intelligence-commerce-form","6/2/2026","Agentforce Commerce","UK","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Gibraltar; Guernsey; Jersey; United Kingdom","English","Customer; Prospect","MM; GB",""
"IE_GFM_Agentforce Commerce_data-intelligence-commerce-form","6/2/2026","Agentforce Commerce","Ireland","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Ireland","English","Customer; Prospect","MM; GB",""
"GB_GFM_Agentforce Commerce_forrester-total-economic-impact-b2b-commerce","6/2/2026","Agentforce Commerce","UK","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Gibraltar; Guernsey; Jersey; United Kingdom","English","Customer; Prospect","MM; GB",""
"IE_GFM_Agentforce Commerce_forrester-total-economic-impact-b2b-commerce","6/2/2026","Agentforce Commerce","Ireland","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Ireland","English","Customer; Prospect","MM; GB",""
"IT_GFM_Agentforce Marketing_agentforce-guide","6/2/2026","Marketing Cloud","Italy","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Holy See; Italy; San Marino","Italian","Customer; Prospect","MM; GB; EBU",""
"CH_GFM_Commerce Cloud_commerce-cloud-overview-demo","6/2/2026","Agentforce Commerce","Switzerland & Liechtenstein","","Agentforce Commerce; Commerce B2B","Stephen Clarke","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","MM; GB",""
"GB_GFM_Agentforce Marketing_b2b-marketers-guide","6/2/2026","Marketing Cloud","UK","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Gibraltar; Guernsey; Jersey; United Kingdom","English","Customer; Prospect","MM; GB",""
"IL_GFM_Agentforce Marketing_20-best-practices-marketing-optimization","6/2/2026","Marketing Cloud","Israel","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Israel","English","Customer; Prospect","MM; GB; EBU",""
"IL_GFM_Agentforce Marketing_crm-marketing-demo","6/2/2026","Marketing Cloud","Israel","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Israel","English","Customer; Prospect","MM; GB; EBU",""
"SE_GFM_Agentforce Marketing_crm-marketing-demo","6/2/2026","Marketing Cloud","Sweden","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Sweden","English","Customer; Prospect","MM; GB; EBU",""
"PL_GFM_Agentforce Marketing_crm-marketing-demo","6/2/2026","Marketing Cloud","CEE","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Poland","English","Customer; Prospect","MM; GB; EBU",""
"AT_GFM_Agentforce Marketing_crm-marketing-demo","6/2/2026","Marketing Cloud","Austria","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Stephen Clarke","EMEA","Austria","German","Customer; Prospect","MM; GB",""
